输入商品名称,匹配的SPU,匹配的SKU,期望值
华为畅享70X尊享版(BRE-AL80S)8+512曜金黑,-,-,华为 畅享 70X 尊享版 全网通 512GB 曜金黑
华为畅享70X尊享版(BRE-AL80S)8+512星海蓝,-,-,华为 畅享 70X 尊享版 全网通 512GB 星海蓝
华为畅享70X尊享版(BRE-AL80S)8+512深海蓝,-,-,华为 畅享 70X 尊享版 全网通 512GB 星海蓝
华为畅享70X尊享版(BRE-AL80S)8+512流沙金,-,-,华为 畅享 70X 尊享版 全网通 512GB 流沙金
华为Nova FlipS(PSD-AL80)12+512星耀黑,-,-,华为 Nova Flip S 全网通 512GB 星耀黑
OPPO Reno15c 12＋512学院蓝,-,-,OPPO Reno 15c 全网通5G版 12GB+512GB 学院蓝
华为Nova FlipS(PSD-AL80)12+512向新绿,-,-,华为 Nova Flip S 全网通 512GB 向新绿
OPPO Reno15c 12＋512演示机学院蓝,-,-,OPPO Reno 15c 全网通5G版 12GB+512GB 学院蓝
Hi畅享80S 5G 8+256晴空蓝,檀木健发梳,-,华为智选 Hi 畅享 80S 全网通版 8GB+256GB 晴空蓝
Hi畅享80pro 5G 8+256星海蓝,檀木健发梳,-,华为智选 Hi 畅享 80 Pro 全网通版 8GB+256GB 星海蓝
Hi畅享80pro 5G 8+256晨光白,檀木健发梳,-,华为智选 Hi 畅享 80 Pro 全网通版 8GB+256GB 晨光白
Hi畅享80pro 5G 12+256星海蓝,檀木健发梳,-,华为智选 Hi 畅享 80 Pro 全网通版 12GB+256GB 星海蓝
Hi畅享80pro 5G 12+256星空黑,檀木健发梳,-,华为智选 Hi 畅享 80 Pro 全网通版 12GB+256GB 星空黑
Hi畅享80pro 5G 12+256晨光白,檀木健发梳,-,华为智选 Hi 畅享 80 Pro 全网通版 12GB+256GB 晨光白
Hi畅享80pro 5G 12+512星海蓝,檀木健发梳,-,华为智选 Hi 畅享 80 Pro 全网通版 12GB+512GB 星海蓝
Hi畅享80pro 5G 12+512星空黑,檀木健发梳,-,华为智选 Hi 畅享 80 Pro 全网通版 12GB+512GB 星空黑
Hi畅享80pro 5G 12+512晨光白,檀木健发梳,-,华为智选 Hi 畅享 80 Pro 全网通版 12GB+512GB 晨光白
麦芒40 5G（TYH651M-02)12+256幻夜黑,檀木健发梳,-,华为智选 麦芒 40 全网通 12GB+256GB 幻夜黑
麦芒40 5G（TYH651M-02)12+256冰川白,檀木健发梳,-,华为智选 麦芒 40 全网通 12GB+256GB 冰川白
麦芒40 5G（TYH651M-02)12+256原野绿,檀木健发梳,-,华为智选 麦芒 40 全网通 12GB+256GB 原野绿
麦芒40 5G（TYH651M-02)12+512幻夜黑,檀木健发梳,-,华为智选 麦芒 40 全网通 12GB+512GB 幻夜黑
麦芒40 5G（TYH651M-02)12+512冰川白,檀木健发梳,-,华为智选 麦芒 40 全网通 12GB+512GB 冰川白
麦芒40 5G（TYH651M-02)12+512原野绿,檀木健发梳,-,华为智选 麦芒 40 全网通 12GB+512GB 原野绿
华为Nova13(BLK-AL80) 12+256洛登绿,-,-,华为 nova 13 全网通版 256GB 洛登绿
华为Nova13(BLK-AL80) 12+256羽砂白,-,-,华为 nova 13 全网通版 256GB 羽砂白
华为Nova13Pro(MIS-AL00) 12+256羽砂白,-,-,华为 nova 13 Pro 全网通版 256GB 羽砂白
华为Nova13Pro(MIS-AL00) 12+256星耀黑,-,-,华为 nova 13 Pro 全网通版 256GB 星耀黑
华为Mate70（CLS-AL00)12+1T云杉绿,-,-,华为 Mate 70 全网通版 12GB+1TB 云杉绿
华为Mate70（CLS-AL00)12+1T曜石黑,-,-,华为 Mate 70 全网通版 12GB+1TB 曜石黑
华为Mate70（CLS-AL00)12+1T雪域白,-,-,华为 Mate 70 全网通版 12GB+1TB 雪域白
华为Mate70（CLS-AL00)12+1T风信紫,-,-,华为 Mate 70 全网通版 12GB+1TB 风信紫
华为Mate70（CLS-AL00)12+256曜石黑,-,-,华为 Mate 70 全网通版 12GB+256GB 曜石黑
华为Mate70Pro（PLR-AL00) 12+512风信紫,-,-,华为 Mate 70 Pro 全网通版 12GB+512GB 风信紫
华为Mate70Pro（PLR-AL00) 12+512雪域白,-,-,华为 Mate 70 Pro 全网通版 12GB+512GB 雪域白
华为Mate70Pro（PLR-AL00) 12+512曜石黑,-,-,华为 Mate 70 Pro 全网通版 12GB+512GB 曜石黑
华为Mate70Pro（PLR-AL00) 12+512云杉绿,-,-,华为 Mate 70 Pro 全网通版 12GB+512GB 云杉绿
华为Mate70Pro+（PLA-AL10) 16+512飞天青,-,-,华为 Mate 70 Pro+ 全网通版 16GB+512GB 飞天青
华为Mate70Pro优享版鸿蒙NEXT（PLR-AL50) 12+512曜石黑,-,-,华为 Mate 70 Pro 优享版 鸿蒙NEXT先锋版 全网通版 12GB+512GB 曜石黑
华为Mate70Pro+（PLA-AL10) 16+512金丝银锦,-,-,华为 Mate 70 Pro+ 全网通版 16GB+512GB 金丝银锦
华为Mate70Pro+（PLA-AL10) 16+1T羽衣白,-,-,华为 Mate 70 Pro+ 全网通版 16GB+1TB 羽衣白
华为Mate70Pro+（PLA-AL10) 16+1T飞天青,-,-,华为 Mate 70 Pro+ 全网通版 16GB+1TB 飞天青
华为Mate70 鸿蒙NEXT先锋版（CLS-AL00)12+512风信紫,-,-,华为 Mate 70 鸿蒙NEXT先锋版 全网通版 12GB+512GB 风信紫
华为Mate70 鸿蒙NEXT先锋版（CLS-AL00)12+512云杉绿,-,-,华为 Mate 70 鸿蒙NEXT先锋版 全网通版 12GB+512GB 云杉绿
华为Mate70 鸿蒙NEXT先锋版（CLS-AL00)12+512雪域白,-,-,华为 Mate 70 鸿蒙NEXT先锋版 全网通版 12GB+512GB 雪域白
华为Mate70 鸿蒙NEXT先锋版（CLS-AL00)12+512曜石黑,-,-,华为 Mate 70 鸿蒙NEXT先锋版 全网通版 12GB+512GB 曜石黑
华为Mate70Pro 鸿蒙NEXT先锋版（PLR-AL00) 12+512曜石黑,-,-,华为 Mate 70 Pro 鸿蒙NEXT先锋版 全网通版 12GB+512GB 曜石黑
华为Mate70Pro 鸿蒙NEXT先锋版（PLR-AL00) 12+512雪域白,-,-,华为 Mate 70 Pro 鸿蒙NEXT先锋版 全网通版 12GB+512GB 雪域白
华为Mate70Pro优享版（PLR-AL50) 12+512曜石黑,-,-,华为 Mate 70 Pro 优享版 全网通版 12GB+512GB 曜石黑
华为Mate70Pro优享版（PLR-AL50) 12+1T曜石黑,-,-,华为 Mate 70 Pro 优享版 全网通版 12GB+1TB 曜石黑
华为Mate70Pro优享版（PLR-AL50) 12+1T风信紫,-,-,华为 Mate 70 Pro 优享版 全网通版 12GB+1TB 风信紫
华为Mate70Pro 鸿蒙NEXT先锋版（PLR-AL30) 12+1T云杉绿,-,-,华为 Mate 70 Pro 鸿蒙NEXT先锋版 全网通版 12GB+1TB 云杉绿
华为Mate70Pro 鸿蒙NEXT先锋版（PLR-AL30) 12+1T曜石黑,-,-,华为 Mate 70 Pro 鸿蒙NEXT先锋版 全网通版 12GB+1TB 曜石黑
华为Mate70Pro+（PLA-AL10) 16+512墨韵黑,-,-,华为 Mate 70 Pro+ 全网通版 16GB+512GB 墨韵黑
华为Mate70Pro优享版（PLR-AL50) 12+256雪域白,-,-,华为 Mate 70 Pro 优享版 全网通版 12GB+256GB 雪域白
华为Mate70Pro优享版（PLR-AL50) 12+256云杉绿,-,-,华为 Mate 70 Pro 优享版 全网通版 12GB+256GB 云杉绿
华为Mate70Pro优享版（PLR-AL50) 12+256曜石黑,-,-,华为 Mate 70 Pro 优享版 全网通版 12GB+256GB 曜石黑
华为Mate70Pro（PLR-AL30) 16+512云杉绿,-,-,华为 Mate 70 Pro 全网通版 16GB+512GB 云杉绿
华为Mate70Pro（PLR-AL30) 16+512雪域白,-,-,华为 Mate 70 Pro 全网通版 16GB+512GB 雪域白
华为Mate70Pro（PLR-AL30) 16+512曜石黑,-,-,华为 Mate 70 Pro 全网通版 16GB+512GB 曜石黑
华为Mate70Pro（PLR-AL30) 16+512风信紫,-,-,华为 Mate 70 Pro 全网通版 16GB+512GB 风信紫
华为Mate70Air（SUP-AL90)12+512羽衣白,T品牌 华为 Mate 70 Air 盾3D高清钢化膜,-,华为 Mate 70 Air 全网通版 12GB+512GB 羽衣白
华为Mate70Air（SUP-AL90)12+512曜金黑,T品牌 华为 Mate 70 Air 盾3D高清钢化膜,-,华为 Mate 70 Air 全网通版 12GB+512GB 曜金黑
华为Mate70Air（SUP-AL90)12+512金丝银锦,T品牌 华为 Mate 70 Air 盾3D高清钢化膜,-,华为 Mate 70 Air 全网通版 12GB+512GB 金丝银锦
华为Mate70Air（SUP-AL90)12+256曜金黑,T品牌 华为 Mate 70 Air 盾3D高清钢化膜,-,华为 Mate 70 Air 全网通版 12GB+256GB 曜金黑
华为Mate70Air（SUP-AL90)12+256金丝银锦,T品牌 华为 Mate 70 Air 盾3D高清钢化膜,-,华为 Mate 70 Air 全网通版 12GB+256GB 金丝银锦
华为PuraX 典藏(VDE-AL10)16+512型格绿,-,-,华为 Pura X 全网通版 16GB+512GB典藏版 型格绿
华为PuraX 典藏(VDE-AL10)16+512零度白,-,-,华为 Pura X 全网通版 16GB+512GB典藏版 零度白
华为PuraX 典藏(VDE-AL10)16+512型格红,-,-,华为 Pura X 全网通版 16GB+512GB典藏版 型格红
华为PuraX 典藏(VDE-AL10)16+512月影灰,-,-,华为 Pura X 全网通版 16GB+512GB典藏版 月影灰
华为PuraX (VDE-AL00)12+512幻夜黑,-,-,华为 Pura X 全网通版 12GB+512GB 幻夜黑
华为PuraX (VDE-AL00)12+512零度白,-,-,华为 Pura X 全网通版 12GB+512GB 零度白
华为PuraX (VDE-AL00)12+512月影灰,-,-,华为 Pura X 全网通版 12GB+512GB 月影灰
华为PuraX (VDE-AL00)12+256月影灰,-,-,华为 Pura X 全网通版 12GB+256GB 月影灰
华为PuraX (VDE-AL00)12+256零度白,-,-,华为 Pura X 全网通版 12GB+256GB 零度白
华为畅享80（JUY-AL00）8+128天际白,-,-,华为 畅享 80 全网通版 8GB+128GB 天际白
华为畅享80（JUY-AL00）8+128曜金黑,-,-,华为 畅享 80 全网通版 8GB+128GB 曜金黑
华为畅享80（JUY-AL00）8+128天青蓝,-,-,华为 畅享 80 全网通版 8GB+128GB 天青蓝
华为畅享80（JUY-AL00）8+256天青蓝,-,-,华为 畅享 80 全网通版 8GB+256GB 天青蓝
华为畅享80（JUY-AL00）8+256天际白,-,-,华为 畅享 80 全网通版 8GB+256GB 天际白
华为畅享80（JUY-AL00）8+256曜金黑,-,-,华为 畅享 80 全网通版 8GB+256GB 曜金黑
华为Nova14Pro（MIA-AL00）12+256羽砂黑,-,-,华为 Nova 14 Pro 全网通版 256GB 羽砂黑
华为Nova14Pro（MIA-AL00）12+256凝霜白,-,-,华为 Nova 14 Pro 全网通版 256GB 凝霜白
华为Nova14Pro（MIA-AL00）12+256冰晶蓝,-,-,华为 Nova 14 Pro 全网通版 256GB 冰晶蓝
华为Nova14Pro（MIA-AL00）12+512凝霜白,-,-,华为 Nova 14 Pro 全网通版 512GB 凝霜白
华为Nova14Pro（MIA-AL00）12+512羽砂黑,-,-,华为 Nova 14 Pro 全网通版 512GB 羽砂黑
华为Nova14Pro（MIA-AL00）12+512冰晶蓝,-,-,华为 Nova 14 Pro 全网通版 512GB 冰晶蓝
华为Nova14Pro（MIA-AL00）12+512冰晶粉,-,-,华为 Nova 14 Pro 全网通版 512GB 冰晶粉
华为Nova14Ultra（MRT-AL10）12+256浮光白,-,-,华为 Nova 14 Ultra 全网通版 256GB 浮光白
华为Nova14Ultra（MRT-AL10）12+256曜金黑,-,-,华为 Nova 14 Ultra 全网通版 256GB 曜金黑
华为Nova14Ultra（MRT-AL10）12+256流光紫,-,-,华为 Nova 14 Ultra 全网通版 256GB 流光紫
华为Nova14Ultra（MRT-AL10）12+256浮光金,-,-,华为 Nova 14 Ultra 全网通版 256GB 浮光金
华为Nova14Ultra（MRT-AL10）12+512曜金黑,-,-,华为 Nova 14 Ultra 全网通版 512GB 曜金黑
华为Nova14Ultra（MRT-AL10）12+512浮光白,-,-,华为 Nova 14 Ultra 全网通版 512GB 浮光白
华为Nova14Ultra（MRT-AL10）12+512浮光金,-,-,华为 Nova 14 Ultra 全网通版 512GB 浮光金
华为Nova14Ultra（MRT-AL10）12+512流光紫,-,-,华为 Nova 14 Ultra 全网通版 512GB 流光紫
华为Nova14 (TLR-AL00)12+512羽砂黑,-,-,华为 Nova 14 全网通版 512GB 羽砂黑
华为Nova14 (TLR-AL00)12+512凝霜白,-,-,华为 Nova 14 全网通版 512GB 凝霜白
华为Nova14 (TLR-AL00)12+512冰晶蓝,-,-,华为 Nova 14 全网通版 512GB 冰晶蓝
华为Nova14 (TLR-AL00)12+256冰晶蓝,-,-,华为 Nova 14 全网通版 256GB 冰晶蓝
华为Nova14 (TLR-AL00)12+256凝霜白,-,-,华为 Nova 14 全网通版 256GB 凝霜白
华为Nova14 (TLR-AL00)12+256羽砂黑,-,-,华为 Nova 14 全网通版 256GB 羽砂黑
华为Nova14 (TLR-AL00)12+512昆仑版冰晶蓝,-,-,华为 Nova 14 全网通版 昆仑玻璃 512GB 冰晶蓝
华为Nova14 (TLR-AL00)12+512昆仑版羽砂黑,-,-,华为 Nova 14 全网通版 昆仑玻璃 512GB 羽砂黑
华为Nova14 (TLR-AL00)12+512昆仑版凝霜白,-,-,华为 Nova 14 全网通版 昆仑玻璃 512GB 凝霜白
华为Nova14Pro（MIA-AL00）12+512昆仑凝霜白,-,-,华为 Nova 14 Pro 全网通版 昆仑玻璃 512GB 凝霜白
华为Nova14Pro（MIA-AL00）12+512昆仑冰晶蓝,-,-,华为 Nova 14 Pro 全网通版 昆仑玻璃 512GB 冰晶蓝
华为Nova14Pro（MIA-AL00）12+512昆仑羽砂黑,-,-,华为 Nova 14 Pro 全网通版 昆仑玻璃 512GB 羽砂黑
华为Nova14Pro（MIA-AL00）12+512昆仑冰晶粉,-,-,华为 Nova 14 Pro 全网通版 昆仑玻璃 512GB 冰晶粉
华为NOVA14活力版 (TYR-AL00)12+256冰晶蓝,-,-,华为 Nova 14 活力版 全网通版 256GB 冰晶蓝
华为NOVA14活力版 (TYR-AL00)12+256羽砂黑,-,-,华为 Nova 14 活力版 全网通版 256GB 羽砂黑
华为NOVA14活力版 (TYR-AL00)12+256凝霜白,-,-,华为 Nova 14 活力版 全网通版 256GB 凝霜白
华为NOVA14活力版 (TYR-AL00)12+512凝霜白,-,-,华为 Nova 14 活力版 全网通版 512GB 凝霜白
华为NOVA14活力版 (TYR-AL00)12+512羽砂黑,-,-,华为 Nova 14 活力版 全网通版 512GB 羽砂黑
华为NOVA14活力版 (TYR-AL00)12+512冰晶蓝,-,-,华为 Nova 14 活力版 全网通版 512GB 冰晶蓝
华为Pura80Pro LMR-AL00 12+256釉白,-,-,华为 Pura 80 Pro 全网通 12GB+256GB 釉白
华为Pura80Pro+ LMR-AL10 16+512釉青,-,-,华为 Pura 80 Pro+ 全网通 16GB+512GB 釉青
华为Pura80Pro+ LMR-AL10 16+512釉黑,-,-,华为 Pura 80 Pro+ 全网通 16GB+512GB 釉黑
华为Pura80Pro+ LMR-AL10 16+512釉白,-,-,华为 Pura 80 Pro+ 全网通 16GB+512GB 釉白
华为Mate80promax（SGT-AL10)16+1T极光青,-,-,华为 Mate 80 Pro Max 全网通 16GB+1TB 极光青
华为Pura80Ultra LMR-AL10 16+512鎏光黑,-,-,华为 Pura 80 Ultra 全网通 16GB+512GB 鎏光黑
华为Pura80Ultra LMR-AL10 16+512鎏金黑,-,-,华为 Pura 80 Ultra 全网通 16GB+512GB 鎏光黑
华为Pura80Ultra LMR-AL10 16+512鎏光金,-,-,华为 Pura 80 Ultra 全网通 16GB+512GB 鎏光金
华为Pura80Pro LMR-AL00 12+512釉白,-,-,华为 Pura 80 Pro 全网通 12GB+512GB 釉白
华为Pura80Pro LMR-AL00 12+512釉金,-,-,华为 Pura 80 Pro 全网通 12GB+512GB 釉金
华为Pura80Pro LMR-AL00 12+512釉黑,-,-,华为 Pura 80 Pro 全网通 12GB+512GB 釉黑
华为Pura80Pro LMR-AL00 12+1T釉黑,-,-,华为 Pura 80 Pro 全网通 12GB+1TB 釉黑
华为Pura80Pro LMR-AL00 12+1T釉白,-,-,华为 Pura 80 Pro 全网通 12GB+1TB 釉白
华为Pura80Pro+ LMR-AL10 16+1T釉黑,-,-,华为 Pura 80 Pro+ 全网通 16GB+1TB 釉黑
华为Pura80Ultra LMR-AL10 16+1T鎏光黑,-,-,华为 Pura 80 Ultra 全网通 16GB+1TB 鎏光黑
华为Pura80 HED-AL00 12+256G丝绒白,-,-,华为 Pura 80 全网通5G 12GB+256GB 丝绒白
华为Pura80 HED-AL00 12+256G丝绒黑,-,-,华为 Pura 80 全网通5G 12GB+256GB 丝绒黑
华为Pura80 HED-AL00 12+256G丝绒绿,-,-,华为 Pura 80 全网通5G 12GB+256GB 丝绒绿
华为Pura80 HED-AL00 12+512G丝绒白,-,-,华为 Pura 80 全网通5G 12GB+512GB 丝绒白
华为Pura80 HED-AL00 12+512G丝绒黑,-,-,华为 Pura 80 全网通5G 12GB+512GB 丝绒黑
华为Pura80 HED-AL00 12+512G丝绒绿,-,-,华为 Pura 80 全网通5G 12GB+512GB 丝绒绿
华为Pura80 HED-AL00 12+512G丝绒金,-,-,华为 Pura 80 全网通5G 12GB+512GB 丝绒金
华为Pura80 HED-AL00 12+1T丝绒黑,-,-,华为 Pura 80 全网通5G 12GB+1TB 丝绒黑
华为Pura80 HED-AL00 12+1T丝绒白,-,-,华为 Pura 80 全网通5G 12GB+1TB 丝绒白
华为Pura80 HED-AL00 12+1T丝绒金,-,-,华为 Pura 80 全网通5G 12GB+1TB 丝绒金
华为Pura80 HED-AL00 12+1T丝绒绿,-,-,华为 Pura 80 全网通5G 12GB+1TB 丝绒绿
华为Mate80（VYG-AL00)12+256云杉绿,-,-,华为 Mate 80 全网通 12GB+256GB 云杉绿
华为Mate80（VYG-AL00)12+256曜石黑,-,-,华为 Mate 80 全网通 12GB+256GB 曜石黑
华为Mate80（VYG-AL00)12+256雪域白,-,-,华为 Mate 80 全网通 12GB+256GB 雪域白
华为Mate80promax（SGT-AL10)16+512极地银,-,-,华为 Mate 80 Pro Max 全网通 16GB+512GB 极地银
华为Mate80（VYG-AL00)12+512晨曦金,-,-,华为 Mate 80 全网通 12GB+512GB 晨曦金
华为Mate80（VYG-AL00)12+512雪域白,-,-,华为 Mate 80 全网通 12GB+512GB 雪域白
华为Mate80（VYG-AL00)12+512云杉绿,-,-,华为 Mate 80 全网通 12GB+512GB 云杉绿
华为Mate80（VYG-AL00)16+512雪域白,-,-,华为 Mate 80 全网通 16GB+512GB 雪域白
华为Mate80（VYG-AL00)16+512云杉绿,-,-,华为 Mate 80 全网通 16GB+512GB 云杉绿
华为Mate80（VYG-AL00)16+512曜石黑,-,-,华为 Mate 80 全网通 16GB+512GB 曜石黑
华为Mate80（VYG-AL00)16+512晨曦金,-,-,华为 Mate 80 全网通 16GB+512GB 晨曦金
华为Mate80（VYG-AL00)12+512曜石黑,-,-,华为 Mate 80 全网通 12GB+512GB 曜石黑
华为MateX6 (ICL-AL10)12+256寰宇红,-,-,华为 Mate X6 全网通版 12GB+256GB 寰宇红
华为MateX6典藏(ICL-AL10)16+512寰宇红,-,-,华为 Mate X6 全网通版 16GB+512GB典藏版 寰宇红
华为MateX7 典藏(DEL-AL20)16+512寰宇红,-,-,华为 Mate X7 全网通 16GB+512GB典藏版 寰宇红
华为MateX7 典藏(DEL-AL20)16+512云锦白,-,-,华为 Mate X7 全网通 16GB+512GB典藏版 云锦白
华为MateX7 典藏(DEL-AL20)16+512云锦蓝,-,-,华为 Mate X7 全网通 16GB+512GB典藏版 云锦蓝
华为MateX7 典藏(DEL-AL20)16+1T曜石黑,-,-,华为 Mate X7 全网通 16GB+1TB典藏版 曜石黑
华为MateX7 (DEL-AL10)12+512幻影紫,-,-,华为 Mate X7 全网通 12GB+512GB 幻影紫
华为MateX7 典藏(DEL-AL20)16+1T云锦白,-,-,华为 Mate X7 全网通 16GB+1TB典藏版 云锦白
华为MateX7 (DEL-AL10)12+512云锦白,-,-,华为 Mate X7 全网通 12GB+512GB 云锦白
华为MateX7 典藏(DEL-AL20)16+1T幻影紫,-,-,华为 Mate X7 全网通 16GB+1TB典藏版 幻影紫
华为MateX6 (ICL-AL10)12+512星云灰,-,-,华为 Mate X6 全网通版 12GB+512GB 星云灰
华为MateX6 (ICL-AL10)12+512星云白,-,-,华为 Mate X6 全网通版 12GB+512GB 星云白
华为MateX6 (ICL-AL10)12+512深海蓝,-,-,华为 Mate X6 全网通版 12GB+512GB 深海蓝
华为MateX6 (ICL-AL10)12+512曜石黑,-,-,华为 Mate X6 全网通版 12GB+512GB 曜石黑
华为MateX6 (ICL-AL10)12+512寰宇红,-,-,华为 Mate X6 全网通版 12GB+512GB 寰宇红
华为MateX7 典藏(DEL-AL20)16+512曜石黑,-,-,华为 Mate X7 全网通 16GB+512GB典藏版 曜石黑
华为mateXT 三折叠(GRL-AL10)16+512演示机瑞红+冰霜银,-,-,华为 Mate XT 非凡大师  全网通版 16GB+512GB 瑞红
荣耀平板V9 柔光版 11.5寸（ROL-W10）8G+256G苍山灰,荣耀平板 V9 智能触控键盘,荣耀平板 V9 智能触控键盘 深灰色,荣耀平板 V9 11.5英寸 柔光版 WiFi版 8GB+256GB 苍山灰
荣耀平板V9 11.5寸（ROL-W00）12G+512G苍山灰,荣耀平板 V9 智能触控键盘,荣耀平板 V9 智能触控键盘 深灰色,荣耀平板 V9 11.5英寸 标准版 WiFi版 12GB+512GB 苍山灰
荣耀平板V9 11.5寸（ROL-W00）12G+512G庐烟紫,荣耀平板 V9 智能触控键盘,-,荣耀平板 V9 11.5英寸 标准版 WiFi版 12GB+512GB 庐烟紫
荣耀平板X9Pro 11.5英寸(ELN2-W09)8+256天青色,荣耀平板X9 Pro智能蓝牙键盘,-,荣耀平板 X9 Pro 11.5英寸 WiFi版 8GB+256GB 天青色
荣耀平板MagicPad2 12.3寸（ROD2-W09）16G+512G月影白,荣耀平板 MagicPad2（ROD2-W09）12.3英寸钢化膜,-,荣耀平板 MagicPad 2（ROD2-W09） 12.3英寸 WIFI版 16GB+512GB 月影白
荣耀平板MagicPad2 12.3寸（ROD2-W09）16G+512G天海青,荣耀平板 MagicPad2（ROD2-W09）12.3英寸钢化膜,-,荣耀平板 MagicPad 2（ROD2-W09） 12.3英寸 WIFI版 16GB+512GB 天海青
荣耀平板10 12.1英寸（HEY3-W00)12+256天青色,-,-,荣耀平板10 12.1英寸 12GB+256GB 天青色
荣耀平板10 12.1英寸（HEY3-W00)12+512苍山灰,-,-,荣耀平板10 12.1英寸 12GB+512GB 苍山灰
荣耀平板10柔光版 12.1英寸（HEY3-W10)8+256日出印象,-,-,荣耀平板10  12.1英寸 柔光版 WIFI版 8GB+256GB 日出印象
荣耀平板10柔光版 12.1英寸（HEY3-W10)8+256苍山灰,-,-,荣耀平板10  12.1英寸 柔光版 WIFI版 8GB+256GB 苍山灰
荣耀平板MagicPad3 13.3寸（CGA-W00）16G+512G月影白,荣耀MagicPad3 12.5智能键盘 ,-,荣耀平板 MagicPad 3 13.3英寸 WIFI版 16GB+512GB 月影白
荣耀平板MagicPad3 12.5寸（CGL-W00)12+256G星空灰,荣耀MagicPad3 12.5智能键盘 ,荣耀MagicPad3 12.5智能键盘  深灰色,荣耀平板 MagicPad 3 12.5英寸 WIFI版 12GB+256GB 星空灰
荣耀平板MagicPad3柔光版 12.5寸（CGL-W10)8+256G星空灰,荣耀MagicPad3 12.5智能键盘 ,荣耀MagicPad3 12.5智能键盘  深灰色,荣耀平板 MagicPad 3 12.5英寸 柔光版 WIFI版 8GB+256GB 星空灰
荣耀平板MagicPad3pro 13.3寸（YLP-W00）16G+512G星空灰,荣耀平板 MagicPad 3 Pro 13.3英寸,荣耀平板 MagicPad 3 Pro 13.3英寸 WiFi版 16GB+512GB 星空灰,荣耀平板 MagicPad 3 Pro 13.3英寸 WiFi版 16GB+512GB 星空灰
荣耀手表5（STL-L19）4G+64MB曜石黑,-,-,荣耀手表5 曜石黑
荣耀手表4Pro真皮表带（TUM-L19）墨绿色,-,-,荣耀手表4 Pro 墨绿色真皮表带
荣耀手表FIT雅致版（IVY-B39)幻夜黑,-,-,荣耀手表Fit 雅致版 幻夜黑 黑色硅胶表带
荣耀手表FIT雅致版（IVY-B39)摩卡棕,-,-,荣耀手表Fit 雅致版 摩卡棕 酒红色皮表带
荣耀手表5Ultra（TUR-L19）8G+64MB钛色,-,-,荣耀手表5 Ultra 纵横家（钛色）
荣耀手表5Ultra（TUR-L19）8G+64MB黑色,-,-,荣耀手表5 Ultra 极速者（黑色）
荣耀手表5Ultra（TUR-L19）8G+64MB棕色,-,-,荣耀手表5 Ultra 指挥官（棕色）
荣耀手表5PRO eSIM版氟橡胶表带(HAL-L19)黑色,-,-,荣耀手表5 Pro eSIM版 黑色氟橡胶表带
荣耀手表5PRO eSIM版皮表带(HAL-L19)绿色,-,-,荣耀手表5 Pro eSIM版 绿色皮表带
荣耀手表X5 皮革表带（LWS-WB10）星光白,荣耀手表 X5,荣耀手表 X5 星光白,荣耀手表 X5 link+皮表带 LWS-WB10  星光白
荣耀手表X5 皮革表带（LWS-WB10）幻夜黑,荣耀手表 X5,荣耀手表 X5 幻夜黑,荣耀手表 X5 link+皮表带 LWS-WB10  幻夜黑
2023款荣耀MagicBook X14Pro(FRI-G561)I5-13500H+16+512 锐炬Xe冰河银,荣耀 MagicBook X 14 Pro 2023 14吋,荣耀 MagicBook X 14 Pro 2023 14吋 i5-13500H 16GB+512GB 冰河银,荣耀 MagicBook X 14 Pro 2023 14吋 i5-13500H 16GB+512GB 冰河银
荣耀MagicVFlip2 5G(CLE-AN00)12+512G月影白,-,-,荣耀Magic V Flip2 全网通5G 12GB+512GB 月影白
荣耀MagicVFlip2 5G(CLE-AN00)12+512G钛空灰,-,-,荣耀Magic V Flip2 全网通5G 12GB+512GB 钛空灰
荣耀MagicVFlip2 5G(CLE-AN00)12+512G晨曦紫,-,-,荣耀Magic V Flip2 全网通5G 12GB+512GB 晨曦紫
荣耀畅玩50 5G(JDY-AN00)8+256幻夜黑,-,-,荣耀畅玩50 全网通5G 8GB+256GB 幻夜黑
荣耀畅玩60 5G(NIC-AN00)8+256墨岩黑,-,-,荣耀畅玩60 全网通5G 8GB+256GB 墨岩黑
荣耀畅玩60 5G(NIC-AN00)6+128玉龙雪,-,-,荣耀畅玩60 全网通5G 6GB+128GB 玉龙雪
荣耀畅玩60 5G(NIC-AN00)6+128墨岩黑,-,-,荣耀畅玩60 全网通5G 6GB+128GB 墨岩黑
荣耀畅玩70Plus 5G(LOG-AN00)12+256幻夜黑,-,-,荣耀畅玩70 Plus 全网通5G 12GB+256GB 幻夜黑
荣耀畅玩70Plus 5G(LOG-AN00)12+256晓山青,-,-,荣耀畅玩70 Plus 全网通5G 12GB+256GB 晓山青
荣耀畅玩70Plus 5G(LOG-AN00)12+256流沙粉,-,-,荣耀畅玩70 Plus 全网通5G 12GB+256GB 流沙粉
荣耀畅玩70Plus 5G(LOG-AN00)12+256玉龙雪,-,-,荣耀畅玩70 Plus 全网通5G 12GB+256GB 玉龙雪
荣耀畅玩70Plus 5G(LOG-AN00)12+512玉龙雪,-,-,荣耀畅玩70 Plus 全网通5G 12GB+512GB 玉龙雪
荣耀畅玩70Plus 5G(LOG-AN00)12+512流沙粉,-,-,荣耀畅玩70 Plus 全网通5G 12GB+512GB 流沙粉
